sample_id,iteration,requested_at,latency_ms,success,distance_meters,duration_seconds,provider,degraded,failure_reason
M01,4,2026-08-09T16:46:10.280000100Z,1155,true,1482,229,AMAP,false,
M02,4,2026-08-09T16:46:11.434209700Z,1691,true,1458,233,AMAP,false,
M03,4,2026-08-09T16:46:13.127421300Z,1213,true,2020,400,AMAP,false,
M04,4,2026-08-09T16:46:14.356309200Z,1306,true,1508,283,AMAP,false,
M05,4,2026-08-09T16:46:15.664241Z,1197,true,2242,375,AMAP,false,
M06,4,2026-08-09T16:46:16.862281300Z,1244,true,1680,303,AMAP,false,
M07,4,2026-08-09T16:46:18.103389Z,1680,true,2336,290,AMAP,false,
M08,4,2026-08-09T16:46:19.787271700Z,1727,true,2327,449,AMAP,false,
M09,4,2026-08-09T16:46:21.515569100Z,1375,true,1545,259,AMAP,false,
M10,4,2026-08-09T16:46:22.891472500Z,1177,true,2336,249,AMAP,false,
L01,4,2026-08-09T16:46:24.068390500Z,2766,true,2995,877,AMAP,false,
L02,4,2026-08-09T16:46:26.832150100Z,4414,true,16946,1652,AMAP,false,
L03,4,2026-08-09T16:46:31.250034Z,1188,true,3409,568,AMAP,false,
L04,4,2026-08-09T16:46:32.437750100Z,1851,true,4888,1456,AMAP,false,
L05,4,2026-08-09T16:46:34.290473500Z,1563,true,17285,1470,AMAP,false,
S01,5,2026-08-09T16:46:35.853947300Z,1203,true,339,121,AMAP,false,
S02,5,2026-08-09T16:46:37.057594300Z,2278,true,1377,591,AMAP,false,
S03,5,2026-08-09T16:46:39.334514300Z,1172,true,264,42,AMAP,false,
S04,5,2026-08-09T16:46:40.512011200Z,2149,true,506,83,AMAP,false,
S05,5,2026-08-09T16:46:42.662171500Z,1152,true,340,131,AMAP,false,
M01,5,2026-08-09T16:46:43.814701Z,2152,true,1482,229,AMAP,false,
M02,5,2026-08-09T16:46:45.964486100Z,1210,true,1458,224,AMAP,false,
M03,5,2026-08-09T16:46:47.177878800Z,1194,true,2020,400,AMAP,false,
M04,5,2026-08-09T16:46:48.373825300Z,1689,true,1508,283,AMAP,false,
M05,5,2026-08-09T16:46:50.062998Z,1183,true,2242,375,AMAP,false,
M06,5,2026-08-09T16:46:51.246373100Z,1706,true,1680,303,AMAP,false,
M07,5,2026-08-09T16:46:52.953982300Z,1739,true,2336,290,AMAP,false,
M08,5,2026-08-09T16:46:54.693731800Z,2191,true,2327,448,AMAP,false,
M09,5,2026-08-09T16:46:56.885108200Z,2196,true,1545,259,AMAP,false,
M10,5,2026-08-09T16:46:59.081520500Z,2713,true,2336,249,AMAP,false,
L01,5,2026-08-09T16:47:01.794921300Z,1299,true,2995,877,AMAP,false,
L02,5,2026-08-09T16:47:03.094825300Z,1695,true,16946,1646,AMAP,false,
L03,5,2026-08-09T16:47:04.790893200Z,2539,true,3409,563,AMAP,false,
L04,5,2026-08-09T16:47:07.331286400Z,1260,true,4888,1438,AMAP,false,
L05,5,2026-08-09T16:47:08.592137800Z,1351,true,17285,1470,AMAP,false,
S01,6,2026-08-09T16:47:09.939994500Z,1199,true,339,121,AMAP,false,
S02,6,2026-08-09T16:47:11.143100800Z,1737,true,1377,591,AMAP,false,
S03,6,2026-08-09T16:47:12.881132800Z,1156,true,264,42,AMAP,false,
S04,6,2026-08-09T16:47:14.038216Z,1676,true,506,83,AMAP,false,
S05,6,2026-08-09T16:47:15.714770200Z,2203,true,340,131,AMAP,false,
M01,6,2026-08-09T16:47:17.918720300Z,1175,true,1482,229,AMAP,false,
M02,6,2026-08-09T16:47:19.094876800Z,1200,true,1458,221,AMAP,false,
M03,6,2026-08-09T16:47:20.295938300Z,1729,true,2020,400,AMAP,false,
M04,6,2026-08-09T16:47:22.026370300Z,1780,true,1508,283,AMAP,false,
M05,6,2026-08-09T16:47:23.806742900Z,1297,true,2242,363,AMAP,false,
M06,6,2026-08-09T16:47:25.104780Z,1657,true,1680,299,AMAP,false,
M07,6,2026-08-09T16:47:26.759759Z,3092,true,2336,290,AMAP,false,
M08,6,2026-08-09T16:47:29.854929900Z,1165,true,2327,448,AMAP,false,
M09,6,2026-08-09T16:47:31.021361600Z,1201,true,1545,259,AMAP,false,
M10,6,2026-08-09T16:47:32.223085100Z,1718,true,2336,249,AMAP,false,
L01,6,2026-08-09T16:47:33.942019800Z,1745,true,2995,872,AMAP,false,
L02,6,2026-08-09T16:47:35.688283600Z,2464,true,16946,1646,AMAP,false,
L03,6,2026-08-09T16:47:38.152910Z,1290,true,3409,563,AMAP,false,
L04,6,2026-08-09T16:47:39.443264200Z,1221,true,4888,1438,AMAP,false,
L05,6,2026-08-09T16:47:40.664855300Z,1516,true,17285,1465,AMAP,false,
S01,7,2026-08-09T16:47:42.179541700Z,1140,true,339,121,AMAP,false,
S02,7,2026-08-09T16:47:43.322382900Z,1187,true,1377,590,AMAP,false,
S03,7,2026-08-09T16:47:44.509891100Z,1325,true,264,42,AMAP,false,
S04,7,2026-08-09T16:47:45.836343700Z,1161,true,506,83,AMAP,false,
S05,7,2026-08-09T16:47:46.996373100Z,1673,true,340,131,AMAP,false,
M01,7,2026-08-09T16:47:48.672003200Z,1178,true,1482,229,AMAP,false,
M02,7,2026-08-09T16:47:49.850851400Z,1195,true,1458,221,AMAP,false,
M03,7,2026-08-09T16:47:51.046638900Z,1716,true,2020,388,AMAP,false,
M04,7,2026-08-09T16:47:52.763230900Z,1384,true,1508,283,AMAP,false,
M05,7,2026-08-09T16:47:54.148550800Z,1627,true,2242,363,AMAP,false,
M06,7,2026-08-09T16:47:55.776011700Z,1163,true,1680,299,AMAP,false,
M07,7,2026-08-09T16:47:56.940521Z,1653,true,2336,290,AMAP,false,
M08,7,2026-08-09T16:47:58.594689200Z,1195,true,2327,448,AMAP,false,
M09,7,2026-08-09T16:47:59.789341900Z,3195,true,1545,259,AMAP,false,
M10,7,2026-08-09T16:48:02.984875500Z,2149,true,2336,249,AMAP,false,
L01,7,2026-08-09T16:48:05.136169900Z,1686,true,2995,872,AMAP,false,
L02,7,2026-08-09T16:48:06.822611900Z,1421,true,16946,1645,AMAP,false,
L03,7,2026-08-09T16:48:08.244574700Z,1682,true,3409,563,AMAP,false,
L04,7,2026-08-09T16:48:09.927755900Z,1183,true,4888,1438,AMAP,false,
L05,7,2026-08-09T16:48:11.110874800Z,1445,true,17285,1465,AMAP,false,
S01,8,2026-08-09T16:48:12.556944700Z,1184,true,339,121,AMAP,false,
S02,8,2026-08-09T16:48:13.740961400Z,1157,true,1377,590,AMAP,false,
S03,8,2026-08-09T16:48:14.898620800Z,1189,true,264,42,AMAP,false,
S04,8,2026-08-09T16:48:16.088322200Z,2252,true,506,83,AMAP,false,
S05,8,2026-08-09T16:48:18.340975900Z,1715,true,340,129,AMAP,false,
M01,8,2026-08-09T16:48:20.056235200Z,1219,true,1482,229,AMAP,false,
M02,8,2026-08-09T16:48:21.276602Z,1138,true,1458,217,AMAP,false,
M03,8,2026-08-09T16:48:22.414873200Z,1253,true,2020,387,AMAP,false,
M04,8,2026-08-09T16:48:23.668826900Z,1670,true,1508,284,AMAP,false,
M05,8,2026-08-09T16:48:25.343368500Z,1172,true,2242,363,AMAP,false,
M06,8,2026-08-09T16:48:26.516194100Z,1186,true,1680,304,AMAP,false,
M07,8,2026-08-09T16:48:27.703191300Z,1131,true,2336,290,AMAP,false,
M08,8,2026-08-09T16:48:28.834761600Z,1208,true,2327,456,AMAP,false,
M09,8,2026-08-09T16:48:30.040323500Z,1252,true,1545,259,AMAP,false,
